TQI_ITT,JACS 2.0,LEV_1,LEV_2,LEV_3
0,D700,5,09,024
0,D710,5,09,024
0,D711,5,09,024
0,D720,5,09,024
0,D721,5,09,024
0,D730,5,09,024
0,D740,5,09,024
0,D750,5,09,024
0,D790,5,09,024
0,D900,5,09,024
0,D990,5,09,024
0,F000,6,10,030
0,F100,6,10,025
0,F110,6,10,025
0,F111,6,10,025
0,F112,6,10,025
0,F120,6,10,025
0,F130,6,10,025
0,F131,6,10,025
0,F140,6,10,025
0,F141,6,10,025
0,F150,6,10,025
0,F151,6,10,025
0,F160,6,10,025
0,F161,6,10,025
0,F162,6,10,025
0,F163,6,10,025
0,F164,6,10,025
0,F165,6,10,025
0,F170,6,10,025
0,F180,6,10,025
0,F190,6,10,025
0,F200,6,10,030
0,F290,6,10,030
0,F300,6,10,026
0,F310,6,10,026
0,F311,6,10,026
0,F320,6,10,026
0,F321,6,10,026
0,F330,6,10,026
0,F331,6,10,026
0,F332,6,10,026
0,F340,6,10,026
0,F341,6,10,026
0,F342,6,10,026
0,F343,6,10,026
0,F350,6,10,026
0,F351,6,10,026
0,F360,6,10,026
0,F361,6,10,026
0,F370,6,10,026
0,F380,6,10,026
0,F390,6,10,026
0,F400,6,10,027
0,F410,6,10,027
0,F420,6,10,027
0,F490,6,10,027
0,F500,6,10,026
0,F510,6,10,026
0,F520,6,10,026
0,F521,6,10,026
0,F522,6,10,026
0,F590,6,10,026
0,F600,6,10,028
0,F610,6,10,028
0,F611,6,10,028
0,F612,6,10,028
0,F620,6,10,028
0,F621,6,10,028
0,F630,6,10,028
0,F631,6,10,028
0,F640,6,10,028
0,F641,6,10,028
0,F642,6,10,028
0,F643,6,10,028
0,F650,6,10,028
0,F660,6,10,028
0,F661,6,10,028
0,F670,6,10,028
0,F690,6,10,028
0,F700,6,10,029
0,F710,6,10,029
0,F720,6,10,029
0,F730,6,10,029
0,F750,L,11,031
0,F751,L,11,031
0,F752,L,11,031
0,F753,L,11,031
0,F760,L,11,031
0,F761,L,11,031
0,F770,L,11,031
0,F790,6,10,029
0,F800,L,11,031
0,F810,L,11,031
0,F811,L,11,031
0,F840,L,11,031
0,F841,L,11,031
0,F842,L,11,031
0,F843,L,11,031
0,F844,L,11,031
0,F845,L,11,031
0,F846,L,11,031
0,F890,L,11,031
0,F900,6,10,030
0,F990,6,10,030
0,G010,7,12,032
0,G020,8,13,035
0,G100,7,12,032
0,G110,7,12,032
0,G120,7,12,032
0,G121,7,12,032
0,G130,7,12,032
0,G140,7,12,032
0,G150,7,12,032
0,G160,7,12,032
0,G190,7,12,032
0,G200,7,12,033
0,G290,7,12,033
0,G300,7,12,032
0,G310,7,12,032
0,G311,7,12,032
0,G320,7,12,032
0,G330,7,12,032
0,G340,7,12,032
0,G350,7,12,032
0,G390,7,12,032
0,G400,8,13,035
0,G410,8,13,035
0,G411,8,13,035
0,G412,8,13,035
0,G420,8,13,035
0,G430,8,13,035
0,G440,8,13,035
0,G450,8,13,035
0,G490,8,13,035
0,G500,8,13,035
0,G510,8,13,035
0,G520,8,13,035
0,G530,8,13,035
0,G540,8,13,035
0,G550,8,13,035
0,G560,8,13,035
0,G590,8,13,035
0,G600,8,13,035
0,G610,8,13,035
0,G620,8,13,035
0,G621,8,13,035
0,G622,8,13,035
0,G623,8,13,035
0,G690,8,13,035
0,G700,8,13,035
0,G710,8,13,035
0,G720,8,13,035
0,G730,8,13,035
0,G740,8,13,035
0,G750,8,13,035
0,G760,8,13,035
0,G761,8,13,035
0,G790,8,13,035
0,G910,7,12,032
0,G920,8,13,035
0,H000,9,16,043
0,H100,9,14,036
0,H110,9,14,036
0,H120,9,14,036
0,H121,9,14,036
0,H122,9,14,036
0,H123,9,14,036
0,H130,9,14,036
0,H131,9,14,036
0,H140,9,14,036
0,H141,9,14,036
0,H142,9,14,036
0,H143,9,14,036
0,H150,9,14,036
0,H190,9,14,036
0,H200,9,16,041
0,H210,9,16,041
0,H220,9,16,041
0,H221,9,16,041
0,H222,9,16,041
0,H223,9,16,041
0,H230,9,16,041
0,H231,9,16,041
0,H232,9,16,041
0,H240,9,16,041
0,H241,9,16,041
0,H242,9,16,041
0,H250,9,16,041
0,H290,9,16,041
0,H300,9,14,037
0,H310,9,14,037
0,H311,9,14,037
0,H320,9,14,037
0,H321,9,14,037
0,H330,9,14,037
0,H331,9,14,037
0,H332,9,14,037
0,H333,9,14,037
0,H340,9,14,037
0,H341,9,14,037
0,H342,9,14,037
0,H350,9,14,037
0,H360,9,14,037
0,H390,9,14,037
0,H400,9,14,038
0,H410,9,14,038
0,H411,9,14,038
0,H412,9,14,038
0,H413,9,14,038
0,H420,9,14,038
0,H430,9,14,038
0,H440,9,14,038
0,H441,9,14,038
0,H450,9,14,038
0,H460,9,14,038
0,H490,9,14,038
0,H500,9,14,039
0,H510,9,14,039
0,H511,9,14,039
0,H512,9,14,039
0,H513,9,14,039
0,H514,9,14,039
0,H520,9,14,039
0,H521,9,14,039
0,H522,9,14,039
0,H523,9,14,039
0,H524,9,14,039
0,H590,9,14,039
0,H600,9,15,040
0,H610,9,15,040
0,H611,9,15,040
0,H612,9,15,040
0,H620,9,15,040
0,H630,9,15,040
0,H631,9,15,040
0,H632,9,15,040
0,H640,9,15,040
0,H641,9,15,040
0,H642,9,15,040
0,H643,9,15,040
0,H644,9,15,040
0,H650,9,15,040
0,H651,9,15,040
0,H652,9,15,040
0,H660,9,15,040
0,H661,9,15,040
0,H662,9,15,040
0,H670,9,15,040
0,H671,9,15,040
0,H672,9,15,040
0,H673,9,15,040
0,H674,9,15,040
0,H680,9,15,040
0,H690,9,15,040
0,H700,9,14,037
0,H710,9,14,037
0,H711,9,14,037
0,H712,9,14,037
0,H713,9,14,037
0,H714,9,14,037
0,H720,9,14,037
0,H730,9,14,037
0,H790,9,14,037
0,H800,9,16,042
0,H810,9,16,042
0,H811,9,16,042
0,H812,9,16,042
0,H820,9,16,042
0,H821,9,16,042
0,H830,9,16,042
0,H831,9,16,042
0,H840,9,16,042
0,H850,9,16,042
0,H890,9,16,042
0,H900,9,16,043
0,H990,9,16,043
0,J000,9,17,046
0,J100,9,17,044
0,J110,9,17,044
0,J120,9,17,044
0,J130,9,17,044
0,J140,9,17,044
0,J150,9,17,044
0,J160,9,17,044
0,J190,9,17,044
0,J200,9,17,044
0,J210,9,17,044
0,J220,9,17,044
0,J221,9,17,044
0,J230,9,17,044
0,J290,9,17,044
0,J300,9,17,044
0,J310,9,17,044
0,J320,9,17,044
0,J390,9,17,044
0,J400,9,17,044
0,J410,9,17,044
0,J411,9,17,044
0,J420,9,17,044
0,J421,9,17,044
0,J422,9,17,044
0,J430,9,17,044
0,J431,9,17,044
0,J440,9,17,044
0,J441,9,17,044
0,J442,9,17,044
0,J443,9,17,044
0,J444,9,17,044
0,J445,9,17,044
0,J490,9,17,044
0,J500,9,17,044
0,J510,9,17,044
0,J511,9,17,044
0,J512,9,17,044
0,J513,9,17,044
0,J520,9,17,044
0,J521,9,17,044
0,J522,9,17,044
0,J523,9,17,044
0,J524,9,17,044
0,J530,9,17,044
0,J590,9,17,044
0,J600,9,17,045
0,J610,9,17,045
0,J611,9,17,045
0,J612,9,17,045
0,J613,9,17,045
0,J614,9,17,045
0,J690,9,17,045
0,J700,9,17,046
0,J710,9,17,046
0,J720,9,17,046
0,J730,9,17,046
0,J740,9,17,046
0,J750,9,17,046
0,J790,9,17,046
0,J900,9,17,046
0,J910,9,17,046
0,J920,9,17,046
0,J930,9,17,046
0,J931,9,17,046
0,J940,9,17,046
0,J941,9,17,046
0,J942,9,17,046
0,J950,9,17,046
0,J960,9,17,046
0,J990,9,17,046
0,K000,A,18,051
0,K100,A,18,047
0,K110,A,18,047
0,K120,A,18,047
0,K130,A,18,047
0,K190,A,18,047
0,K200,A,18,048
0,K210,A,18,048
0,K220,A,18,048
0,K230,A,18,048
0,K240,A,18,048
0,K250,A,18,048
0,K290,A,18,048
0,K300,A,18,049
0,K310,A,18,049
0,K320,A,18,049
0,K390,A,18,049
0,K400,A,18,050
0,K410,A,18,050
0,K420,A,18,050
0,K421,A,18,050
0,K422,A,18,050
0,K430,A,18,050
0,K440,A,18,050
0,K450,A,18,050
0,K460,A,18,050
0,K490,A,18,050
0,K900,A,18,051
0,K990,A,18,051
0,L000,B,21,057
0,L100,B,19,052
0,L110,B,19,052
0,L111,B,19,052
0,L112,B,19,052
0,L113,B,19,052
0,L120,B,19,052
0,L130,B,19,052
0,L140,B,19,052
0,L150,B,19,052
0,L160,B,19,052
0,L170,B,19,052
0,L171,B,19,052
0,L172,B,19,052
0,L173,B,19,052
0,L174,B,19,052
0,L190,B,19,052
0,L200,B,20,053
0,L210,B,20,053
0,L211,B,20,053
0,L212,B,20,053
0,L213,B,20,053
0,L214,B,20,053
0,L215,B,20,053
0,L216,B,20,053
0,L217,B,20,053
0,L218,B,20,053
0,L220,B,20,053
0,L221,B,20,053
0,L222,B,20,053
0,L223,B,20,053
0,L224,B,20,053
0,L230,B,20,053
0,L231,B,20,053
0,L232,B,20,053
0,L240,B,20,053
0,L241,B,20,053
0,L242,B,20,053
0,L243,B,20,053
0,L244,B,20,053
0,L250,B,20,053
0,L251,B,20,053
0,L252,B,20,053
0,L260,B,20,053
0,L290,B,20,053
0,L300,B,21,054
0,L310,B,21,054
0,L320,B,21,054
0,L321,B,21,054
0,L322,B,21,054
0,L330,B,21,054
0,L340,B,21,054
0,L350,B,21,054
0,L360,B,21,054
0,L370,B,21,054
0,L371,B,21,054
0,L380,B,21,054
0,L390,B,21,054
0,L391,B,21,054
0,L400,B,21,055
0,L410,B,21,055
0,L420,B,21,055
0,L430,B,21,055
0,L431,B,21,055
0,L432,B,21,055
0,L433,B,21,055
0,L434,B,21,055
0,L435,B,21,055
0,L490,B,21,055
0,L500,B,22,058
0,L510,B,22,058
0,L520,B,22,058
0,L530,B,22,058
0,L540,B,22,058
0,L550,B,22,058
0,L560,B,22,058
0,L590,B,22,058
0,L600,B,21,056
0,L610,B,21,056
0,L620,B,21,056
0,L690,B,21,056
0,L700,L,23,059
0,L710,L,23,059
0,L711,L,23,059
0,L712,L,23,059
0,L713,L,23,059
0,L714,L,23,059
0,L715,L,23,059
0,L716,L,23,059
0,L720,L,23,059
0,L721,L,23,059
0,L722,L,23,059
0,L723,L,23,059
0,L724,L,23,059
0,L725,L,23,059
0,L726,L,23,059
0,L727,L,23,059
0,L790,L,23,059
0,L900,B,21,057
0,L990,B,21,057
0,M000,C,24,060
0,M100,C,24,060
0,M110,C,24,060
0,M111,C,24,060
0,M112,C,24,060
0,M113,C,24,060
0,M114,C,24,060
0,M120,C,24,060
0,M130,C,24,060
0,M140,C,24,060
0,M190,C,24,060
0,M200,C,24,060
0,M210,C,24,060
0,M211,C,24,060
0,M220,C,24,060
0,M221,C,24,060
0,M222,C,24,060
0,M223,C,24,060
0,M224,C,24,060
0,M240,C,24,060
0,M250,C,24,060
0,M260,C,24,060
0,M290,C,24,060
0,M900,C,24,060
0,M990,C,24,060
0,N000,D,28,068
0,N100,D,25,061
0,N110,D,25,061
0,N120,D,25,061
0,N190,D,25,061
0,N200,D,26,063
0,N210,D,26,063
0,N211,D,26,063
0,N212,D,26,063
0,N213,D,26,063
0,N214,D,26,063
0,N215,D,26,063
0,N220,D,26,063
0,N223,D,26,063
0,N224,D,26,063
0,N230,D,26,063
0,N231,D,26,063
0,N232,D,26,063
0,N234,D,26,063
0,N240,D,26,063
0,N290,D,26,063
0,N300,D,27,065
0,N310,D,27,065
0,N320,D,27,065
0,N321,D,27,065
0,N322,D,27,065
0,N323,D,27,065
0,N330,D,27,065
0,N340,D,27,065
0,N341,D,27,065
0,N390,D,27,065
0,N400,D,27,066
0,N410,D,27,066
0,N411,D,27,066
0,N412,D,27,066
0,N413,D,27,066
0,N420,D,27,066
0,N421,D,27,066
0,N422,D,27,066
0,N490,D,27,066
0,N500,D,25,062
0,N510,D,25,062
0,N520,D,25,062
0,N530,D,25,062
0,N550,D,25,062
0,N560,D,25,062
0,N561,D,25,062
0,N562,D,25,062
0,N563,D,25,062
0,N590,D,25,062
0,N600,D,26,064
0,N611,D,26,064
0,N612,D,26,064
0,N613,D,26,064
0,N614,D,26,064
0,N620,D,26,064
0,N690,D,26,064
0,N700,D,28,068
0,N710,D,28,068
0,N720,D,28,068
0,N721,D,28,068
0,N722,D,28,068
0,N790,D,28,068
0,N800,D,28,067
0,N810,D,28,067
0,N820,D,28,067
0,N830,D,28,067
0,N831,D,28,067
0,N832,D,28,067
0,N850,D,28,067
0,N851,D,28,067
0,N852,D,28,067
0,N853,D,28,067
0,N860,D,28,067
0,N861,D,28,067
0,N862,D,28,067
0,N870,D,28,067
0,N890,D,28,067
0,N900,D,28,068
0,N990,D,28,068
0,P000,E,30,074
0,P100,E,30,070
0,P110,E,30,070
0,P120,E,30,070
0,P121,E,30,070
0,P130,E,30,070
0,P131,E,30,070
0,P132,E,30,070
0,P190,E,30,070
0,P200,E,30,071
0,P210,E,30,071
0,P290,E,30,071
0,P300,E,29,069
0,P301,E,29,069
0,P302,E,29,069
0,P303,E,29,069
0,P304,E,29,069
0,P305,E,29,069
0,P310,E,29,069
0,P311,E,29,069
0,P312,E,29,069
0,P313,E,29,069
0,P390,E,29,069
0,P400,E,30,072
0,P410,E,30,072
0,P411,E,30,072
0,P412,E,30,072
0,P413,E,30,072
0,P420,E,30,072
0,P430,E,30,072
0,P490,E,30,072
0,P500,E,30,073
0,P510,E,30,073
0,P590,E,30,073
0,P900,E,30,074
0,P990,E,30,074
0,Q000,F,33,086
0,Q100,F,33,084
0,Q110,F,33,084
0,Q120,F,33,084
0,Q130,F,33,084
0,Q131,F,33,084
0,Q132,F,33,084
0,Q140,F,33,084
0,Q150,F,33,084
0,Q190,F,33,084
0,Q200,F,33,085
0,Q210,F,33,085
0,Q220,F,33,085
0,Q290,F,33,085
0,Q300,F,31,075
0,Q310,F,31,075
0,Q320,F,31,075
0,Q321,F,31,075
0,Q322,F,31,075
0,Q323,F,31,075
0,Q330,F,31,075
0,Q340,F,31,075
0,Q390,F,31,075
0,Q400,F,33,086
0,Q410,F,33,086
0,Q411,F,33,086
0,Q420,F,33,086
0,Q430,F,33,086
0,Q440,F,33,086
0,Q450,F,33,086
0,Q460,F,33,086
0,Q470,F,33,086
